"DCPS
School ID",School Name,Address,Zip Code,Phone Number,Fax Number,Principal Email,Grades,Ward
349,Dorothy I. Height Elementary School,4300 13th St. NW,20011,(202) 723-4100,(202) 723-6867,masi.preston@k12.dc.gov,PK3-5th,4
231,Drew Elementary School,5600 Eads St. NE,20019,(202) 671-6040,(202) 724-4924,naimah.salahuddin@k12.dc.gov,PK3-5th,7
471,Duke Ellington School of the Arts,3500 R St. NW,20007,(202) 282-0123,(202) 337-7847,sandi.logan@k12.dc.gov,9th-12th,2
467,Dunbar High School,101 N St. NW,20001,(202) 698-3762,(202) 673-2233,Nadine.Smith@k12.dc.gov,9th-12th,5
457,Eastern High School,1700 East Capitol St. NE,20003,(202) 698-4500,(202) 698-4800,sah.brown@k12.dc.gov,9th-12th,6
232,Eaton Elementary School,3301 Lowell St. NW,20008,(202) 282-0103,(202) 282-0074,jacqueline.anderson@k12.dc.gov,PK4-5th,3
407,Eliot-Hine Middle School,1830 Constitution Ave. NE,20002,(202) 939-5380,(202) 673-8063,Marlene.Magrino@k12.dc.gov,6th-8th,6
318,Excel Academy,"2501 Martin Luther King, Jr. Ave. SE",20020,(202) 373-0097,(202) 373-0477,shaunte.daniel@k12.dc.gov,PK3-8th,8
238,Garfield Elementary School,2435 Alabama Ave. SE,20020,(202) 671-6140,(202) 671-3156,kennard.branch@k12.dc.gov,PK3-5th,8
239,Garrison Elementary School,1200 S St. NW,20009,(202) 673-7263,(202) 673-6828,brigham.kiplinger@k12.dc.gov,PK3-5th,2
227,H.D. Cooke Elementary School,2525 17th St. NW,20009,(202) 939-5390,(202) 671-2757,ryan.lam@k12.dc.gov,PK3-5th,1
246,Hardy Middle School,1819 35th St. NW,20007,(202) 729-4350,(202) 576-9443,lucas.cooke@k12.dc.gov,6th-8th,2
413,Hart Middle School,601 Mississippi Ave. SE,20032,(202) 671-6426,(202) 645-3426,charlette.butler-strickland@k12.dc.gov,6th-8th,8
258,Hearst Elementary School,3950 37th St. NW,20008,(202) 282-0106,(202) 282-2303,jennifer.geoffroy@k12.dc.gov,PK4-5th,3
249,Hendley Elementary School,425 Chesapeake St. SE,20032,(202) 645-3450,(202) 645-7098,demetrius.lucas@k12.dc.gov,PK3-5th,8
251,Houston Elementary School,1100 50th Pl. NE,20019,(202) 671-6170,(202) 724-4625,camille.townsend@k12.dc.gov,PK3-5th,7
252,Hyde-Addison Elementary School,3219 O St. NW,20007,(202) 282-0170,(202) 282-0087,Calvin.Hooks@k12.dc.gov,PK3-5th,2
1071,Ida B. Wells Middle School,405 Sheridan St. NW,20011,(202) 671-0693,,megan.vroman@k12.dc.gov,6th-8th,4
339,J.O. Wilson Elementary School,660 K St. NE,20002,(202) 698-4733,(202) 698-4727,mitchell.brunson@k12.dc.gov,PK3-5th,6
254,Janney Elementary School,4130 Albemarle St. NW,20016,(202) 282-0110,(202) 282-0112,danielle.singh@k12.dc.gov,PK4-5th,3
433,Jefferson Middle School Academy,801 7th St. SW,20024,(202) 729-3270,(202) 724-2459,greg.dohmann@k12.dc.gov,6th-8th,6
416,Johnson Middle School,1400 Bruce Pl. SE,20020,(202) 939-3140,(202) 645-5882,latisha.coleman@k12.dc.gov,6th-8th,8
421,Kelly Miller Middle School,301 49th St. NE,20019,(202) 388-6870,(202) 727-8330,kortni.stafford@k12.dc.gov,6th-8th,7
257,Ketcham Elementary School,1919 15th St. SE,20020,(202) 698-1122,(202) 698-1113,lacondria.beckwith@k12.dc.gov,PK3-5th,8
272,Key Elementary School,5001 Dana Pl. NW,20016,(202) 729-3280,(202) 282-0188,david.landeryou@k12.dc.gov,PK4-5th,3
259,Kimball Elementary School,3375 Minnesota Ave. SE,20019,(202) 671-6260,(202) 645-3147,eric.dabney@k12.dc.gov,PK3-5th,7
344,King Elementary School,3200 6th St. SE,20032,(202) 939-4900,(202) 645-7308,angel.hunter@k12.dc.gov,PK3-5th,8
417,Kramer Middle School,1700 Q St. SE,20020,(202) 939-3150,,katreena.shelby@k12.dc.gov,6th-8th,8
261,Lafayette Elementary School,5701 Broad Branch Rd. NW,20015,(202) 282-0116,(202) 282-1126,carrie.broquard@k12.dc.gov,PK4-5th,4
262,Langdon Elementary School,1900 Evarts St. NE,20018,(202) 576-6048,(202) 576-7976,kemi.husbands@k12.dc.gov,PK3-5th,5
370,Langley Elementary School,101 T Street NE,20002,(202) 724-4223,(202) 832-1377,kristina.kellogg@k12.dc.gov,PK3-5th,5
264,LaSalle-Backus Elementary School,501 Riggs Rd. NE,20011,(202) 671-6340,(202) 541-3859,shelly.gray@k12.dc.gov,PK3-5th,4
266,Leckie Education Campus,4201 M.L. King Ave. SW,20032,(202) 645-3330,(202) 645-3331,niyeka.wilson@k12.dc.gov,PK3-8th,8
271,Ludlow-Taylor Elementary School,659 G St. NE,20002,(202) 698-3244,(202) 698-3250,rachel.williams4@k12.dc.gov,PK3-5th,6
884,Luke C. Moore High School,1001 Monroe St. NE,20017,(202) 281-3600,(202) 526-5022,Rodney.wormsley@k12.dc.gov,9th-12th,5
420,MacFarland Middle School,4400 Iowa Ave. NW,20011,(202) 671-6033,(202) 671-6036,mark.sanders@k12.dc.gov,6th-8th,4
308,Malcolm X Elementary School @ Green,1500 Mississippi Ave. SE,20032,(202) 645-3409,(202) 645-7219,zara.berry-young@k12.dc.gov,PK3-5th,8
273,Mann Elementary School,4430 Newark St. NW,20016,(202) 282-0126,(202) 282-0128,elizabeth.whisnant@k12.dc.gov,PK4-5th,3
284,Marie Reed Elementary School,2201 18th St. NW,20009,(202) 673-7308,(202) 671-5042,katie.lundgren@k12.dc.gov,PK3-5th,1
274,Maury Elementary School,1250 Constitution Ave. NE,20002,(202) 698-3838,(202) 698-3844,helena.chauvenet@k12.dc.gov,PK3-5th,6
435,McKinley Middle School,151 T. St. NE,20002,(202) 281-3950,(202) 832-1293,louise.jones@k12.dc.gov,6th-8th,5
458,McKinley Technology High School,151 T St. NE,20002,(202) 281-3950,(202) 576-6279,louise.jones@k12.dc.gov,9th-12th,5
1165,Military Road Early Learning Center,1375 Missouri Ave NW,20011,(202) 671-6410,,amelia.hunt@k12.dc.gov,"PK3, PK4",4
280,Miner Elementary School,601 15th St. NE,20002,(202) 397-3960,(202) 724-4957,katrel.angry@k12.dc.gov,PK3-5th,6
285,Moten Elementary School,1565 Morris Rd. SE,20020,(202) 698-1111,(202) 698-1112,akela.dogbe@k12.dc.gov,PK3-5th,8
287,Murch Elementary School,4810 36th St. NW,20008,(202) 282-0130,(202) 282-0132,chris.cebrzynski@k12.dc.gov,PK4-5th,3
288,Nalle Elementary School,219 50th St. SE,20019,(202) 671-6280,(202) 645-3196,jacob.lappi@k12.dc.gov,PK3-5th,7
290,Noyes Elementary School,2725 10th St. NE,20018,(202) 281-2580,(202) 576-7397,kermit.burks@k12.dc.gov,PK3-5th,5
292,Oyster-Adams Bilingual School,2801 Calvert St. NW and 2020 19th St. NW,20008,(202) 671-6130,(202) 671-3087,elkin.pineda@k12.dc.gov,PK4-8th,3
294,Patterson Elementary School,4399 South Capitol Terr. SW,20032,(202) 939-5280,(202) 645-3851,victorie.thomas@k12.dc.gov,PK3-5th,8
295,Payne Elementary School,1445 C St. SE,20003,(202) 698-3262,(202) 698-3263,stephanie.byrd@k12.dc.gov,PK3-5th,6
301,Peabody Elementary School (Capitol Hill Cluster),425 C St. NE,20002,(202) 698-3277,(202) 698-3275,mscott.berkowitz@k12.dc.gov,PK3-K,6
478,"Phelps Architecture, Construction and Engineering High
School",704 26th St. NE,20002,(202) 729-4360,(202) 442-8438,Joshua.emmett@k12.dc.gov,9th-12th,5
299,Plummer Elementary School,4601 Texas Ave. SE,20019,(202) 939-4360,(202) 645-3176,terri.fuller@k12.dc.gov,PK3-5th,7
300,Powell Elementary School,1350 Upshur St. NW,20011,(202) 671-6270,(202) 576-7155,okiyyah.lyons-lucas@k12.dc.gov,PK3-5th,4
316,Randle Highlands Elementary School,1650 30th St. SE,20020,(202) 729-3250,(202) 645-3911,kristie.edwards@k12.dc.gov,PK3-5th,7
302,Raymond Elementary School,2501 11th St. NW,20001,(202) 576-6236,(202) 576-7275,natalie.hubbard@k12.dc.gov,PK3-5th,4
304,River Terrace Education Campus,405 Anacostia Ave. NE,20019,(202) 442-7111,(202) 442-8631,aimee.cepeda@k12.dc.gov,3-Adult,7
436,Ron Brown College Preparatory High School,4800 Meade St. NE,20019,(202) 729-4343,(202) 729-2156,charles.hunt@k12.dc.gov,9th-12th,7
459,Roosevelt High School,4301 13th St. NW,20011,(202) 576-6130,(202) 541-6449,justin.ralston@k12.dc.gov,9th-12th,4
456,Roosevelt STAY High School,4301 13th St. NW,20011,(202) 576-8399,(202) 576-8478,dewayne.little@k12.dc.gov,"9th-12th, Adult Education",4
305,Ross Elementary School,1730 R St. NW,20009,(202) 673-7200,(202) 673-6644,holly.searl@k12.dc.gov,PK4-5th,2
307,Savoy Elementary School,2400 Shannon Pl. SE,20020,(202) 939-2000,(202) 535-1415,lisa.rosado@k12.dc.gov,PK3-5th,8
409,School Without Walls @ Francis-Stevens,2425 N St. NW,20037,(202) 724-4841,(202) 724-3957,shanna.young@k12.dc.gov,PK3-8th,2
466,School Without Walls High School,2130 G St. NW,20037,(202) 645-9690,(202) 724-8536,sylvia.isaac@k12.dc.gov,9th-12th,2
943,School-Within-School @ Goding,810 26th St. NE,20002,(202) 727-7377,(202) 727-9276,john.burst@k12.dc.gov,PK3-5th,6
309,Seaton Elementary School,1503 10th St. NW,20001,(202) 673-7215,(202) 671-5014,suzanne.jacobs@k12.dc.gov,PK3-5th,6
313,Shepherd Elementary School,7800 14th St NW,20012,(202) 576-6140,(202) 576-7578,Phyllis.Hedlund@k12.dc.gov,PK3-5th,4
315,Simon Elementary School,401 Mississippi Ave. SE,20032,(202) 645-3360,(202) 645-3359,franchita.eborn@k12.dc.gov,PK3-5th,8
322,Smothers Elementary School,1300 44th St. NE,20019,(202) 939-3600,(202) 724-2377,kiana.williams2@k12.dc.gov,PK3-5th,7
427,Sousa Middle School,3650 Ely Pl. SE,20019,(202) 729-3260,(202) 645-0456,courtney.wilkerson@k12.dc.gov,6th-8th,7
319,Stanton Elementary School,2701 Naylor Rd. SE,20020,(202) 671-6180,(202) 645-3264,harold.mccray@k12.dc.gov,PK3-5th,8
321,Stoddert Elementary School,4001 Calvert St. NW,20007,(202) 671-6030,(202) 282-0145,karen.rivas@k12.dc.gov,PK4-5th,3
428,Stuart-Hobson Middle School (Capitol Hill Cluster),410 E St. NE,20002,(202) 671-6010,(202) 698-4720,eric.fraser@k12.dc.gov,6th-8th,6
324,Takoma Elementary School,7010 Piney Branch Rd. NW,20012,(202) 671-6050,(202) 576-7592,brandon.clayton@k12.dc.gov,PK3-5th,4
1142,Thaddeus Stevens Early Learning Center,1050 21st St. NW,20036,(202) 698-0677,,amelia.hunt@k12.dc.gov,"PK3, PK4",2
325,Thomas Elementary School,650 Anacostia Ave. NE,20019,(202) 724-4593,(202) 724-5053,jaimee.trahan@k12.dc.gov,PK3-5th,7
326,Thomson Elementary School,1200 L St. NW,20005,(202) 898-4660,(202) 442-8706,carmen.shepherd@k12.dc.gov,PK3-5th,2
327,Truesdell Elementary School,800 Ingraham St. NW,20011,(202) 576-6202,(202) 576-6205,tracy.foster@k12.dc.gov,PK3-5th,4
328,Tubman Elementary School,3101 13th St. NW,20010,(202) 673-7285,(202) 673-2172,amanda.delabar@k12.dc.gov,PK3-5th,1
329,Turner Elementary School,3264 Stanton Rd. SE,20032,(202) 645-3470,(202) 610-9515,jessica.morris@k12.dc.gov,PK3-5th,8
330,Tyler Elementary School,1001 G St. SE,20003,(202) 939-4810,(202) 698-3848,jasmine.brann@k12.dc.gov,PK3-5th,6
331,Van Ness Elementary School,1150 5th St SE,20003,(202) 727-4314,(202) 727-6781,cynthia.robinson@k12.dc.gov,PK3-5th,6
332,Walker-Jones Education Campus,1125 New Jersey Ave. NW,20001,(202) 939-5934,(202) 535-1307,clinton.turner3@k12.dc.gov,PK3-8th,6
333,Watkins Elementary School (Capitol Hill Cluster),420 12th St. SE,20003,(202) 698-3355,(202) 698-3340,mscott.berkowitz@k12.dc.gov,1st-5th,6
336,West Elementary School,1335 Farragut St. NW,20011,(202) 576-6226,(202) 541-6087,nikeysha.jackson@k12.dc.gov,PK3-5th,4
335,Wheatley Education Campus,1299 Neal St. NE,20002,(202) 939-5970,(202) 724-9088,shenora.plenty@k12.dc.gov,PK3-8th,5
338,Whittier Elementary School,6201 5th St. NW,20011,(202) 576-6156,(202) 576-6158,tiffany.johnson3@k12.dc.gov,PK3-5th,4
463,Woodrow Wilson High School,3950 Chesapeake St. NW,20016,(202) 282-0120,(202) 282-0077,gregory.bargeman@k12.dc.gov,9th-12th,3
464,H.D. Woodson High School,540 55th St. NE,20019,(202) 939-2030,(202) 645-4193,William.massey@k12.dc.gov,9th-12th,7
